step,ce,loss,first_ce,avg_ponder,expected_steps,grad_norm_avg,avg_forget_cost,avg_storage_cost,diversity_loss,temporal_drift,forget_density,saturation
8800,10.2362,20.5019,10.1113,1.9684,14.6549,7.7904,0.6875,4.0632,0.968736,20.431019,0.687251,71.8031
8900,10.1464,20.3593,9.7662,2.1847,14.9916,7.4618,0.6851,4.1360,0.968740,20.462948,0.684634,77.0667
9000,10.1128,20.3020,10.2052,2.3567,15.1738,7.6491,0.6869,4.1387,0.968738,20.416498,0.686583,81.5611
9100,10.1110,20.2780,10.3284,2.3797,15.1694,7.4699,0.6858,3.9269,0.968730,20.344093,0.685341,82.2764
9200,10.0782,20.2235,10.0262,2.1175,14.8945,7.8083,0.6842,4.1482,0.968740,20.403187,0.683967,75.3015
9300,10.1603,20.3640,9.9231,2.7562,15.5814,8.7477,0.6806,4.1177,0.968739,20.311626,0.680325,90.9597
9400,10.1212,20.2797,10.3765,2.4804,15.2598,7.3593,0.6879,3.9900,0.968739,20.375086,0.687683,84.9924
9500,10.0914,20.3015,9.9786,2.0957,14.8122,7.2526,0.6882,3.9484,0.968739,20.450460,0.688217,75.1464
9600,10.1146,20.2879,10.2331,2.0973,14.8254,7.2059,0.6820,4.1892,0.968735,20.396551,0.681976,74.9574
9700,10.0701,20.2413,10.0647,2.5336,15.3695,7.6480,0.6860,4.0046,0.968737,20.382357,0.685766,85.8581
9800,10.0197,20.0987,10.1386,2.6465,15.4785,7.4881,0.6810,4.0332,0.968730,20.288664,0.680837,88.5799
9900,10.1210,20.3133,10.0445,2.1922,14.9608,7.5494,0.6830,4.1291,0.968737,20.381319,0.682774,77.5665
10000,9.9598,19.9785,9.9035,2.2236,15.0379,7.2786,0.6780,4.0423,0.968735,20.175037,0.677760,78.1858
10100,10.0749,20.1947,9.6496,2.2635,15.0488,7.4850,0.6828,3.9687,0.968733,20.311155,0.682775,78.9611
10200,10.0476,20.1352,9.9347,2.4418,15.2359,8.7490,0.6808,4.0413,0.968738,20.302389,0.680789,84.0729
